DateTime,Bid,Ask,Close
20170228 07:00:00.000,0.0,0.0,5341.9
20170228 07:15:00.000,0.0,0.0,5342.3
20170228 07:30:00.000,0.0,0.0,5343.6
20170228 07:45:00.000,0.0,0.0,5343.0
20170228 08:00:00.000,0.0,0.0,5341.1
20170228 08:15:00.000,0.0,0.0,5343.2
20170228 08:30:00.000,0.0,0.0,5343.6
20170228 08:45:00.000,0.0,0.0,5342.4
20170228 09:00:00.000,0.0,0.0,5340.2
20170228 09:15:00.000,0.0,0.0,5341.7
20170228 09:30:00.000,0.0,0.0,5342.3
20170228 09:45:00.000,0.0,0.0,5343.9
20170228 10:00:00.000,0.0,0.0,5344.0
20170228 10:15:00.000,0.0,0.0,5345.6
20170228 10:30:00.000,0.0,0.0,5345.3
20170228 10:45:00.000,0.0,0.0,5343.0
20170228 11:00:00.000,0.0,0.0,5345.4
20170228 11:15:00.000,0.0,0.0,5346.0
20170228 11:30:00.000,0.0,0.0,5346.7
20170228 11:45:00.000,0.0,0.0,5346.6
20170228 12:00:00.000,0.0,0.0,5347.0
20170228 12:15:00.000,0.0,0.0,5346.8
20170228 12:30:00.000,0.0,0.0,5347.3
20170228 12:45:00.000,0.0,0.0,5345.7
20170228 13:00:00.000,0.0,0.0,5346.1
20170228 13:15:00.000,0.0,0.0,5346.8
20170228 13:30:00.000,0.0,0.0,5344.1
20170228 13:45:00.000,0.0,0.0,5346.5
20170228 14:00:00.000,0.0,0.0,5347.0
20170228 14:15:00.000,0.0,0.0,5345.7
20170228 14:30:00.000,0.0,0.0,5342.8
20170228 14:45:00.000,0.0,0.0,5339.7
20170228 15:00:00.000,0.0,0.0,5342.0
20170228 15:15:00.000,0.0,0.0,5337.7
20170228 15:30:00.000,0.0,0.0,5335.4
20170228 15:45:00.000,0.0,0.0,5340.4
20170228 16:00:00.000,0.0,0.0,5340.3
20170228 16:15:00.000,0.0,0.0,5342.5
20170228 16:30:00.000,0.0,0.0,5339.8
20170228 16:45:00.000,0.0,0.0,5337.6
20170228 17:00:00.000,0.0,0.0,5330.1
20170228 17:15:00.000,0.0,0.0,5320.7
20170228 17:30:00.000,0.0,0.0,5320.9
20170228 17:45:00.000,0.0,0.0,5325.2
20170228 18:00:00.000,0.0,0.0,5330.1
20170228 18:15:00.000,0.0,0.0,5328.5
20170228 18:30:00.000,0.0,0.0,5330.5
20170228 18:45:00.000,0.0,0.0,5332.3
20170228 19:00:00.000,0.0,0.0,5326.3
20170228 19:15:00.000,0.0,0.0,5326.8
20170228 19:30:00.000,0.0,0.0,5326.2
20170228 19:45:00.000,0.0,0.0,5329.3
20170228 20:00:00.000,0.0,0.0,5331.0
20170228 20:15:00.000,0.0,0.0,5329.2
20170228 20:30:00.000,0.0,0.0,5324.0
20170228 20:45:00.000,0.0,0.0,5330.1
20170228 21:00:00.000,0.0,0.0,5330.5
20170301 07:00:00.000,0.0,0.0,5337.5
20170301 07:15:00.000,0.0,0.0,5340.6
20170301 07:30:00.000,0.0,0.0,5339.0
20170301 07:45:00.000,0.0,0.0,5340.5
20170301 08:00:00.000,0.0,0.0,5344.4
20170301 08:15:00.000,0.0,0.0,5349.6
20170301 08:30:00.000,0.0,0.0,5351.2
20170301 08:45:00.000,0.0,0.0,5358.9
20170301 09:00:00.000,0.0,0.0,5355.7
20170301 09:15:00.000,0.0,0.0,5356.6
20170301 09:30:00.000,0.0,0.0,5354.4
20170301 09:45:00.000,0.0,0.0,5354.6
20170301 10:00:00.000,0.0,0.0,5354.1
20170301 10:15:00.000,0.0,0.0,5355.9
