DateTime,Bid,Ask,Close
20200101 23:00:00.000,0.0,0.0,8757.3
20200101 23:15:00.000,0.0,0.0,8758.9
20200101 23:30:00.000,0.0,0.0,8752.7
20200101 23:45:00.000,0.0,0.0,8752.7
20200102 00:00:00.000,0.0,0.0,8752.2
20200102 00:15:00.000,0.0,0.0,8754.2
20200102 00:30:00.000,0.0,0.0,8757.8
20200102 00:45:00.000,0.0,0.0,8758.2
20200102 01:00:00.000,0.0,0.0,8759.1
20200102 01:15:00.000,0.0,0.0,8752.4
20200102 01:30:00.000,0.0,0.0,8754.7
20200102 01:45:00.000,0.0,0.0,8758.2
20200102 02:00:00.000,0.0,0.0,8760.6
20200102 02:15:00.000,0.0,0.0,8761.0
20200102 02:30:00.000,0.0,0.0,8761.3
20200102 02:45:00.000,0.0,0.0,8761.6
20200102 03:00:00.000,0.0,0.0,8763.7
20200102 03:15:00.000,0.0,0.0,8765.1
20200102 03:30:00.000,0.0,0.0,8767.2
20200102 03:45:00.000,0.0,0.0,8767.4
20200102 04:00:00.000,0.0,0.0,8765.7
20200102 04:15:00.000,0.0,0.0,8765.4
20200102 04:30:00.000,0.0,0.0,8765.9
20200102 04:45:00.000,0.0,0.0,8764.2
20200102 05:00:00.000,0.0,0.0,8761.9
20200102 05:15:00.000,0.0,0.0,8760.6
20200102 05:30:00.000,0.0,0.0,8763.9
20200102 05:45:00.000,0.0,0.0,8765.2
20200102 06:00:00.000,0.0,0.0,8761.6
20200102 06:15:00.000,0.0,0.0,8762.7
20200102 06:30:00.000,0.0,0.0,8762.4
20200102 06:45:00.000,0.0,0.0,8764.6
20200102 07:00:00.000,0.0,0.0,8766.8
20200102 07:15:00.000,0.0,0.0,8770.8
20200102 07:30:00.000,0.0,0.0,8772.1
20200102 07:45:00.000,0.0,0.0,8771.9
20200102 08:00:00.000,0.0,0.0,8776.8
20200102 08:15:00.000,0.0,0.0,8772.6
20200102 08:30:00.000,0.0,0.0,8770.7
20200102 08:45:00.000,0.0,0.0,8781.9
20200102 09:00:00.000,0.0,0.0,8789.3
20200102 09:15:00.000,0.0,0.0,8788.9
20200102 09:30:00.000,0.0,0.0,8786.3
20200102 09:45:00.000,0.0,0.0,8791.4
20200102 10:00:00.000,0.0,0.0,8791.1
20200102 10:15:00.000,0.0,0.0,8795.7
20200102 10:30:00.000,0.0,0.0,8796.4
20200102 10:45:00.000,0.0,0.0,8794.2
20200102 11:00:00.000,0.0,0.0,8789.9
20200102 11:15:00.000,0.0,0.0,8788.8
20200102 11:30:00.000,0.0,0.0,8786.2
20200102 11:45:00.000,0.0,0.0,8784.6
20200102 12:00:00.000,0.0,0.0,8786.9
20200102 12:15:00.000,0.0,0.0,8790.5
20200102 12:30:00.000,0.0,0.0,8791.4
20200102 12:45:00.000,0.0,0.0,8794.8
20200102 13:00:00.000,0.0,0.0,8798.2
20200102 13:15:00.000,0.0,0.0,8798.8
20200102 13:30:00.000,0.0,0.0,8805.2
20200102 13:45:00.000,0.0,0.0,8804.7
20200102 14:00:00.000,0.0,0.0,8797.6
20200102 14:15:00.000,0.0,0.0,8797.7
20200102 14:30:00.000,0.0,0.0,8820.9
20200102 14:45:00.000,0.0,0.0,8825.3
20200102 15:00:00.000,0.0,0.0,8801.3
20200102 15:15:00.000,0.0,0.0,8795.2
20200102 15:30:00.000,0.0,0.0,8793.1
20200102 15:45:00.000,0.0,0.0,8805.7
20200102 16:00:00.000,0.0,0.0,8809.8
20200102 16:15:00.000,0.0,0.0,8805.2
20200102 16:30:00.000,0.0,0.0,8800.9
20200102 16:45:00.000,0.0,0.0,8811.2
20200102 17:00:00.000,0.0,0.0,8812.9
20200102 17:15:00.000,0.0,0.0,8815.7
20200102 17:30:00.000,0.0,0.0,8824.4
20200102 17:45:00.000,0.0,0.0,8826.2
20200102 18:00:00.000,0.0,0.0,8819.1
20200102 18:15:00.000,0.0,0.0,8820.9
20200102 18:30:00.000,0.0,0.0,8817.9
20200102 18:45:00.000,0.0,0.0,8826.4
20200102 19:00:00.000,0.0,0.0,8830.9
20200102 19:15:00.000,0.0,0.0,8838.9
20200102 19:30:00.000,0.0,0.0,8843.4
20200102 19:45:00.000,0.0,0.0,8844.3
20200102 20:00:00.000,0.0,0.0,8847.2
20200102 20:15:00.000,0.0,0.0,8847.4
20200102 20:30:00.000,0.0,0.0,8851.2
20200102 20:45:00.000,0.0,0.0,8871.0
20200102 21:00:00.000,0.0,0.0,8873.8
20200102 23:00:00.000,0.0,0.0,8885.8
20200102 23:15:00.000,0.0,0.0,8883.3
20200102 23:30:00.000,0.0,0.0,8881.6
20200102 23:45:00.000,0.0,0.0,8879.1
20200103 00:00:00.000,0.0,0.0,8881.8
20200103 00:15:00.000,0.0,0.0,8881.4
20200103 00:30:00.000,0.0,0.0,8884.1
20200103 00:45:00.000,0.0,0.0,8882.9
20200103 01:00:00.000,0.0,0.0,8884.9
20200103 01:15:00.000,0.0,0.0,8880.4
20200103 01:30:00.000,0.0,0.0,8860.9
20200103 01:45:00.000,0.0,0.0,8854.3
20200103 02:00:00.000,0.0,0.0,8840.9
20200103 02:15:00.000,0.0,0.0,8830.4
20200103 02:30:00.000,0.0,0.0,8820.4
20200103 02:45:00.000,0.0,0.0,8818.6
20200103 03:00:00.000,0.0,0.0,8807.8
20200103 03:15:00.000,0.0,0.0,8794.7
20200103 03:30:00.000,0.0,0.0,8795.7
20200103 03:45:00.000,0.0,0.0,8803.2
20200103 04:00:00.000,0.0,0.0,8810.3
20200103 04:15:00.000,0.0,0.0,8809.4
20200103 04:30:00.000,0.0,0.0,8815.3
20200103 04:45:00.000,0.0,0.0,8810.9
20200103 05:00:00.000,0.0,0.0,8798.1
20200103 05:15:00.000,0.0,0.0,8802.9
20200103 05:30:00.000,0.0,0.0,8801.3
20200103 05:45:00.000,0.0,0.0,8799.3
20200103 06:00:00.000,0.0,0.0,8792.8
20200103 06:15:00.000,0.0,0.0,8794.0
20200103 06:30:00.000,0.0,0.0,8795.6
20200103 06:45:00.000,0.0,0.0,8798.3
20200103 07:00:00.000,0.0,0.0,8796.0
20200103 07:15:00.000,0.0,0.0,8804.1
20200103 07:30:00.000,0.0,0.0,8798.4
20200103 07:45:00.000,0.0,0.0,8773.7
20200103 08:00:00.000,0.0,0.0,8777.8
20200103 08:15:00.000,0.0,0.0,8781.2
20200103 08:30:00.000,0.0,0.0,8777.7
20200103 08:45:00.000,0.0,0.0,8775.8
20200103 09:00:00.000,0.0,0.0,8760.6
20200103 09:15:00.000,0.0,0.0,8760.1
20200103 09:30:00.000,0.0,0.0,8749.2
20200103 09:45:00.000,0.0,0.0,8756.9
20200103 10:00:00.000,0.0,0.0,8758.3
20200103 10:15:00.000,0.0,0.0,8756.2
20200103 10:30:00.000,0.0,0.0,8747.1
20200103 10:45:00.000,0.0,0.0,8726.8
20200103 11:00:00.000,0.0,0.0,8733.2
20200103 11:15:00.000,0.0,0.0,8739.1
20200103 11:30:00.000,0.0,0.0,8740.6
20200103 11:45:00.000,0.0,0.0,8737.4
20200103 12:00:00.000,0.0,0.0,8754.8
20200103 12:15:00.000,0.0,0.0,8754.2
20200103 12:30:00.000,0.0,0.0,8755.6
20200103 12:45:00.000,0.0,0.0,8757.5
20200103 13:00:00.000,0.0,0.0,8773.4
20200103 13:15:00.000,0.0,0.0,8785.7
20200103 13:30:00.000,0.0,0.0,8774.6
20200103 13:45:00.000,0.0,0.0,8771.9
20200103 14:00:00.000,0.0,0.0,8763.0
20200103 14:15:00.000,0.0,0.0,8752.1
20200103 14:30:00.000,0.0,0.0,8819.4
20200103 14:45:00.000,0.0,0.0,8807.6
20200103 15:00:00.000,0.0,0.0,8807.4
20200103 15:15:00.000,0.0,0.0,8810.9
20200103 15:30:00.000,0.0,0.0,8815.9
20200103 15:45:00.000,0.0,0.0,8802.8
20200103 16:00:00.000,0.0,0.0,8800.5
20200103 16:15:00.000,0.0,0.0,8805.0
20200103 16:30:00.000,0.0,0.0,8813.0
20200103 16:45:00.000,0.0,0.0,8817.8
20200103 17:00:00.000,0.0,0.0,8826.4
20200103 17:15:00.000,0.0,0.0,8828.0
20200103 17:30:00.000,0.0,0.0,8838.3
20200103 17:45:00.000,0.0,0.0,8836.8
20200103 18:00:00.000,0.0,0.0,8833.0
20200103 18:15:00.000,0.0,0.0,8831.3
20200103 18:30:00.000,0.0,0.0,8818.4
20200103 18:45:00.000,0.0,0.0,8817.3
20200103 19:00:00.000,0.0,0.0,8808.0
20200103 19:15:00.000,0.0,0.0,8812.0
20200103 19:30:00.000,0.0,0.0,8817.0
20200103 19:45:00.000,0.0,0.0,8824.0
20200103 20:00:00.000,0.0,0.0,8820.3
20200103 20:15:00.000,0.0,0.0,8811.8
20200103 20:30:00.000,0.0,0.0,8808.2
20200103 20:45:00.000,0.0,0.0,8794.0
20200103 21:00:00.000,0.0,0.0,8793.5
20200105 23:00:00.000,0.0,0.0,8741.4
20200105 23:15:00.000,0.0,0.0,8742.5
20200105 23:30:00.000,0.0,0.0,8752.8
20200105 23:45:00.000,0.0,0.0,8760.2
20200106 00:00:00.000,0.0,0.0,8760.9
20200106 00:15:00.000,0.0,0.0,8761.0
20200106 00:30:00.000,0.0,0.0,8758.0
20200106 00:45:00.000,0.0,0.0,8756.7
20200106 01:00:00.000,0.0,0.0,8752.2
20200106 01:15:00.000,0.0,0.0,8748.8
20200106 01:30:00.000,0.0,0.0,8747.3
20200106 01:45:00.000,0.0,0.0,8745.6
20200106 02:00:00.000,0.0,0.0,8751.7
20200106 02:15:00.000,0.0,0.0,8749.3
20200106 02:30:00.000,0.0,0.0,8743.2
20200106 02:45:00.000,0.0,0.0,8746.7
20200106 03:00:00.000,0.0,0.0,8751.0
20200106 03:15:00.000,0.0,0.0,8752.8
20200106 03:30:00.000,0.0,0.0,8753.3
20200106 03:45:00.000,0.0,0.0,8761.5
20200106 04:00:00.000,0.0,0.0,8764.8
20200106 04:15:00.000,0.0,0.0,8774.0
20200106 04:30:00.000,0.0,0.0,8769.9
20200106 04:45:00.000,0.0,0.0,8770.2
20200106 05:00:00.000,0.0,0.0,8767.5
20200106 05:15:00.000,0.0,0.0,8766.0
20200106 05:30:00.000,0.0,0.0,8764.0
20200106 05:45:00.000,0.0,0.0,8763.6
20200106 06:00:00.000,0.0,0.0,8750.0
20200106 06:15:00.000,0.0,0.0,8749.8
20200106 06:30:00.000,0.0,0.0,8750.4
20200106 06:45:00.000,0.0,0.0,8755.9
20200106 07:00:00.000,0.0,0.0,8754.2
20200106 07:15:00.000,0.0,0.0,8757.8
20200106 07:30:00.000,0.0,0.0,8760.7
20200106 07:45:00.000,0.0,0.0,8753.7
20200106 08:00:00.000,0.0,0.0,8747.5
20200106 08:15:00.000,0.0,0.0,8741.4
20200106 08:30:00.000,0.0,0.0,8726.7
20200106 08:45:00.000,0.0,0.0,8711.4
20200106 09:00:00.000,0.0,0.0,8713.8
20200106 09:15:00.000,0.0,0.0,8710.4
20200106 09:30:00.000,0.0,0.0,8721.7
20200106 09:45:00.000,0.0,0.0,8721.5
20200106 10:00:00.000,0.0,0.0,8730.6
20200106 10:15:00.000,0.0,0.0,8727.8
20200106 10:30:00.000,0.0,0.0,8728.5
20200106 10:45:00.000,0.0,0.0,8729.5
20200106 11:00:00.000,0.0,0.0,8729.0
20200106 11:15:00.000,0.0,0.0,8730.2
20200106 11:30:00.000,0.0,0.0,8729.7
20200106 11:45:00.000,0.0,0.0,8730.4
20200106 12:00:00.000,0.0,0.0,8736.7
20200106 12:15:00.000,0.0,0.0,8740.3
20200106 12:30:00.000,0.0,0.0,8747.6
20200106 12:45:00.000,0.0,0.0,8744.0
20200106 13:00:00.000,0.0,0.0,8724.3
20200106 13:15:00.000,0.0,0.0,8733.3
20200106 13:30:00.000,0.0,0.0,8732.0
20200106 13:45:00.000,0.0,0.0,8733.9
20200106 14:00:00.000,0.0,0.0,8736.3
20200106 14:15:00.000,0.0,0.0,8720.7
20200106 14:30:00.000,0.0,0.0,8758.4
20200106 14:45:00.000,0.0,0.0,8781.0
