image_id x_1 y_1 width height
000001.jpg 40 74 100 100
000002.jpg 35 69 111 111
000005.jpg 31 63 118 118
000006.jpg 40 75 97 97
000007.jpg 37 72 103 103
000008.jpg 42 75 92 92
000009.jpg 27 71 109 109
000010.jpg 39 73 100 100
000011.jpg 34 70 108 108
000012.jpg 34 68 110 110
000013.jpg 33 70 113 113
000014.jpg 35 70 107 107
000015.jpg 33 67 112 112
000016.jpg 37 72 107 107
000017.jpg 31 68 113 113
000018.jpg 35 70 109 109
000019.jpg 40 76 97 97
000020.jpg 36 67 104 104
000021.jpg 39 73 98 98
000022.jpg 39 72 102 102
000023.jpg 31 66 113 113
000024.jpg 39 70 102 102
000025.jpg 35 70 105 105
000026.jpg 43 79 92 92
000027.jpg 33 69 104 104
000028.jpg 37 76 103 103
000029.jpg 49 118 89 89
000029.jpg 32 68 115 115
000030.jpg 43 73 95 95
000031.jpg 30 68 118 118
000032.jpg 40 71 102 102
000033.jpg 39 72 101 101
000034.jpg 46 81 86 86
000035.jpg 36 69 107 107
000037.jpg 42 73 98 98
000038.jpg 32 68 112 112
000039.jpg 36 70 103 103
000040.jpg 35 70 106 106
000041.jpg 29 64 132 132
000042.jpg 32 67 114 114
000043.jpg 30 66 117 117
000044.jpg 42 76 95 95
000045.jpg 34 70 113 113
000046.jpg 35 70 109 109
000047.jpg 37 73 104 104
000048.jpg 32 64 111 111
000049.jpg 43 62 117 117
000050.jpg 37 68 108 108
000051.jpg 36 70 106 106
000052.jpg 36 67 107 107
000053.jpg 30 70 119 119
000054.jpg 32 68 113 113
000055.jpg 37 70 104 104
000056.jpg 52 86 79 79
000056.jpg 32 124 81 81
000057.jpg 36 69 106 106
000058.jpg 32 70 111 111
000059.jpg 24 60 127 127
000061.jpg 46 74 86 86
000062.jpg 38 79 98 98
000063.jpg 36 74 102 102
000064.jpg 30 66 115 115
000065.jpg 38 72 102 102
000066.jpg 31 70 110 110
000067.jpg 55 83 74 74
000068.jpg 45 77 93 93
000069.jpg 39 73 102 102
000071.jpg 32 71 109 109
000072.jpg 36 72 107 107
000073.jpg 39 71 104 104
000074.jpg 38 76 104 104
000075.jpg 32 61 117 117
000076.jpg 40 71 100 100
000077.jpg 38 74 97 97
000078.jpg 35 67 115 115
000079.jpg 41 72 103 103
000080.jpg 40 74 100 100
000081.jpg 30 67 113 113
000082.jpg 32 65 114 114
000083.jpg 40 72 103 103
000084.jpg 34 67 111 111
000085.jpg 37 71 107 107
000086.jpg 39 71 102 102
000087.jpg 31 66 115 115
000088.jpg 45 78 91 91
000089.jpg 42 79 90 90
000090.jpg 38 74 101 101
000091.jpg 39 74 101 101
000092.jpg 40 74 100 100
000093.jpg 45 83 90 90
000094.jpg 33 66 112 112
000095.jpg 41 80 95 95
000096.jpg 42 71 99 99
000097.jpg 39 74 97 97
000098.jpg 45 79 89 89
000099.jpg 33 68 113 113
000100.jpg 25 65 115 115
000101.jpg 34 71 107 107
000102.jpg 42 74 100 100
000103.jpg 43 76 94 94
000104.jpg 26 67 116 116
000105.jpg 32 69 115 115
000106.jpg 33 70 112 112
000107.jpg 42 76 96 96
000108.jpg 29 65 119 119
000109.jpg 35 66 109 109
000110.jpg 39 76 101 101
